csdid,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col88,col89,col90,col91,col92,col93,col94,col95,col96
3,405,481,299,7.5,54.21,59.1,64,1.8,405,225,225,0,0,0,0,0,0,0,380,245,130,2.3,1.5,135,120,15,0.31,39000,34000,405,400,0,5,0,405,405,0,0,0,405,0,405,405,0,405,0,405,405,10,395,0,405,0,365,0,0,0,0,0,0,35,370,120,100,145,39.2,29.7,24.1,400,385,0,20,40200,34600,40000,33600,71000,61200,105,45,20,20,0,20,200,67500,85000
6,499,489,314,49.5,10.09,48,52.8,2.2,500,230,230,0,0,0,0,0,0,0,445,250,190,2.7,1.6,150,125,25,0.31,36000,32000,500,495,0,0,0,500,500,0,0,0,545,0,500,495,5,545,0,545,545,0,535,0,545,0,535,0,0,0,0,0,0,10,485,90,180,215,53.6,40.2,25,540,495,20,20,45200,38000,42600,34800,92000,77500,170,60,45,10,20,35,215,250000,234000
7,280,301,259,2.2,125.93,54.6,60.4,2,280,145,145,0,0,0,0,0,0,0,265,185,80,2.3,1.3,95,90,5,0.33,33000,29000,280,275,0,0,0,280,280,0,0,0,315,0,280,275,0,320,0,320,320,0,320,0,320,0,310,0,0,0,0,0,0,15,315,55,110,145,55.6,34.9,37.1,320,310,0,0,41600,34800,40000,33200,77500,64500,95,45,15,0,0,30,160,150000,188000
11,371,414,252,28.1,13.22,56.2,60.8,1.9,370,190,185,0,10,0,0,0,0,0,355,190,165,2.5,1.5,115,95,20,0.33,46000,39000,375,365,0,0,0,375,370,0,0,0,345,0,375,370,0,340,0,335,340,0,335,0,340,0,325,0,0,0,0,0,0,15,340,75,110,145,36.8,26.5,32,340,325,10,0,48800,39000,45400,36600,84000,67000,60,15,10,10,0,15,180,180000,198000
12,469,435,802,0.6,821.97,56.3,60,1.9,460,240,230,0,5,0,0,0,0,10,450,300,150,2.3,1.3,160,150,10,0.3,33000,29200,465,455,0,5,0,465,460,0,0,0,415,0,465,460,0,410,0,410,415,0,410,15,410,0,340,0,0,0,0,0,0,75,395,70,110,215,43,31.6,29.4,415,360,0,55,42600,36600,46600,38600,71000,60800,115,25,15,30,25,20,210,200000,202000
15,313,347,202,8.6,36.41,58.4,63.2,2,310,155,155,0,0,0,0,0,0,0,300,205,90,2.3,1.5,115,100,10,0.3,31000,29000,310,310,0,5,0,310,310,0,0,0,285,0,310,310,0,285,0,285,285,0,280,0,285,0,265,0,0,0,0,0,0,20,270,55,110,105,40.7,25.9,36.4,280,270,0,0,34400,30800,40000,34000,61000,54000,65,35,10,0,0,15,150,100000,108000
19,382,349,385,6.3,60.76,55.6,62,1.9,380,205,200,0,0,0,0,0,0,0,355,235,115,2.3,1.4,125,115,15,0.31,42000,36000,380,380,0,0,0,380,380,0,0,0,375,0,380,380,0,380,0,380,380,0,380,0,380,0,340,0,0,0,0,0,0,35,370,65,110,200,58.1,52.7,9.3,375,350,0,30,45200,38000,41800,34800,77000,64500,155,45,20,15,15,60,200,150000,172000
26,356,360,383,0.8,454.34,53.9,59.6,2,355,185,185,0,0,0,0,0,0,0,330,210,125,2.5,1.4,115,100,10,0.29,46000,38000,355,350,0,5,0,355,355,0,0,0,360,10,355,350,0,360,0,355,360,0,360,0,360,0,315,0,0,0,0,0,0,40,315,60,100,155,65.1,50.8,17.1,355,335,10,15,46000,38400,48000,38800,82000,69000,140,75,15,0,0,35,160,157000,200000
29,653,666,562,0.8,772.38,57.3,62,2,650,325,315,0,0,0,0,0,0,0,630,435,190,2.3,1.3,235,215,15,0.29,43000,37000,655,635,0,15,0,655,650,0,0,0,610,0,655,650,0,610,25,590,610,0,610,0,610,0,510,0,0,0,0,0,0,100,600,140,185,265,40.8,33.3,20.4,605,585,0,10,38400,33200,42200,35400,73500,63200,155,40,60,10,0,40,305,150000,184000
31,313,395,209,58.1,5.39,52.2,58,2.1,315,150,145,0,0,0,0,0,0,5,285,190,100,2.4,1.4,110,95,15,0.31,37000,33000,315,315,0,0,0,315,315,0,0,0,260,0,315,315,0,260,20,235,260,0,260,0,260,0,230,0,0,0,0,0,0,25,255,85,65,105,52.9,41.2,25.9,260,255,0,0,44400,37600,44800,37600,82000,70000,105,50,15,10,0,25,130,100000,122000
