csdid,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96
5,1373,1625,1320,1.8,742.38,48.3,54,2.2,1370,630,620,0,0,0,0,0,0,5,1225,735,485,2.6,1.5,425,365,65,0.29,50000,43600,1375,1345,0,25,0,1375,1370,0,0,0,1370,10,1375,1365,5,1370,30,1340,1370,0,1370,1370,0,1210,0,0,0,0,0,0,155,1180,185,360,635,50,42.4,15.3,1350,1275,15,55,49700,40900,47200,39100,93600,76800,25,430,95,90,100,90,55,605,230000,247000
20,541,513,738,1,567.62,52.4,58.4,2.1,540,260,250,0,0,5,0,0,0,5,500,350,145,2.4,1.5,190,175,15,0.32,40000,34000,540,525,0,15,0,540,540,0,0,0,505,0,540,535,10,510,30,480,510,0,510,510,0,430,0,0,0,0,0,0,80,500,120,125,255,50,37,28,510,435,30,50,47000,39400,46000,38600,86000,72500,0,150,40,30,0,35,45,230,200000,194000
25,318,252,204,59.1,5.38,55.8,61.6,1.9,320,165,150,0,0,0,15,0,0,5,305,180,120,2.4,1.5,105,90,10,0.3,39000,34000,315,310,0,10,0,315,315,0,0,0,350,0,315,315,0,350,0,350,350,0,350,350,0,345,0,0,0,0,0,0,0,340,100,145,90,60.3,33.8,39,345,340,10,0,41200,35400,40800,34600,76500,65500,0,115,55,30,20,0,0,150,110000,140000
27,3289,3496,1827,56.9,57.8,50.8,56.4,2.1,3180,1540,1380,55,75,10,25,0,0,0,2930,1665,1265,2.6,1.6,980,825,155,0.33,38400,33800,3185,3140,0,40,5,3185,3175,5,0,0,3180,25,3185,3155,15,3180,70,3110,3180,30,3150,3180,0,3035,0,0,0,0,0,0,125,2805,575,695,1530,48.8,40.8,16.4,3165,2970,120,75,42960,36320,44200,36240,75900,64200,65,1060,630,200,75,25,130,1255,150000,173200
32,964,949,547,183.8,5.25,48.6,52.4,2.2,940,435,375,5,0,20,25,0,0,5,840,535,305,2.6,1.6,300,260,45,0.3,45000,38000,965,960,0,5,0,965,965,0,0,0,935,0,965,955,5,940,50,890,940,0,935,940,0,810,0,0,0,0,0,0,130,820,250,225,350,56.7,47.6,15.1,925,850,40,40,46100,38000,49300,40300,84400,69600,0,345,230,40,30,0,50,335,150000,166000
34,407,396,271,10.4,39.02,48.4,52,2.2,410,190,165,5,0,5,0,0,0,15,355,240,115,2.6,1.6,130,120,10,0.32,33000,29000,410,405,0,5,0,410,410,0,0,0,475,0,410,405,0,480,10,470,480,0,480,480,0,415,0,0,0,0,0,0,65,420,85,140,190,47.6,35.7,25,470,465,0,0,39000,33000,42400,34600,75000,63200,0,130,50,50,25,0,0,190,150000,158000
37,446,457,241,15.9,28.08,49.8,55.6,2.2,445,205,200,0,0,5,0,0,0,0,395,265,130,2.6,1.6,150,135,20,0.32,46000,39000,450,435,0,5,0,450,445,0,0,0,495,0,450,445,0,495,15,480,495,0,495,495,0,455,0,0,0,0,0,0,40,430,75,105,255,45.3,38.4,15.4,495,480,0,15,47800,39800,45800,37800,91000,75500,0,150,40,40,25,20,20,200,176000,202000
40,2835,2943,1576,13,218.85,48.1,52.8,2.3,2835,1255,1195,10,5,0,35,0,0,5,2445,1675,770,2.6,1.6,935,830,100,0.31,35400,31100,2835,2755,0,85,0,2835,2830,5,0,0,2835,25,2835,2820,10,2835,50,2790,2835,0,2825,2835,0,2455,0,0,0,0,0,0,375,2425,620,700,1100,48.9,38.4,21.5,2815,2640,30,140,39240,33520,38520,32520,74000,63300,35,825,210,195,145,80,195,1115,200000,210000
42,646,674,427,24,26.95,53.4,60,2.1,645,315,300,0,0,0,15,0,0,0,590,405,185,2.5,1.6,215,195,20,0.31,36000,31600,645,630,0,20,0,645,645,5,0,0,690,0,645,645,0,695,15,680,695,0,685,695,0,620,0,0,0,0,0,0,75,625,155,215,255,48.8,39.2,19.7,690,670,0,0,34200,30200,33800,29400,67000,59200,0,220,100,20,55,0,40,285,172000,178000
44,539,548,341,3.1,173.02,50.7,55.2,2.2,540,240,245,0,0,0,0,0,0,0,485,320,165,2.5,1.5,175,160,15,0.31,28000,26000,540,525,0,10,0,540,535,5,0,0,485,0,540,530,5,485,0,485,485,0,485,490,0,465,0,0,0,0,0,0,25,440,85,170,180,44.3,35.2,20.5,480,450,0,25,37200,32800,36200,31300,71000,62400,10,155,60,60,15,0,15,220,150000,149000
