team,season,winperc,winperc_lag1,winperc_avg3,gp_lag1,toi_lag1,w_lag1,l_lag1,otl_lag1,row_lag1,points_lag1,point_p_lag1,cf_lag1,ca_lag1,cf_p_lag1,ff_lag1,fa_lag1,ff_p_lag1,sf_lag1,sa_lag1,sf_p_lag1,gf_lag1,ga_lag1,gf_p_lag1,x_gf_lag1,x_ga_lag1,x_gf_p_lag1,scf_lag1,sca_lag1,scf_p_lag1,scsf_lag1,scsa_lag1,scsf_p_lag1,scgf_lag1,scga_lag1,scgf_p_lag1,scsh_lag1,scsv_lag1,hdcf_lag1,hdca_lag1,hdcf_p_lag1,hdsf_lag1,hdsa_lag1,hdsf_p_lag1,hdgf_lag1,hdga_lag1,hdgf_p_lag1,hdsh_lag1,hdsv_lag1,mdcf_lag1,mdca_lag1,mdcf_p_lag1,mdsf_lag1,mdsa_lag1,mdsf_p_lag1,mdgf_lag1,mdga_lag1,mdgf_p_lag1,mdsh_lag1,mdsv_lag1,ldcf_lag1,ldca_lag1,ldcf_p_lag1,ldsf_lag1,ldsa_lag1,ldsf_p_lag1,ldgf_lag1,ldga_lag1,ldgf_p_lag1,ldsh_lag1,ldsv_lag1,sh_lag1,sv_lag1,pdo_lag1,gp_avg3,toi_avg3,w_avg3,l_avg3,otl_avg3,row_avg3,points_avg3,point_p_avg3,cf_avg3,ca_avg3,cf_p_avg3,ff_avg3,fa_avg3,ff_p_avg3,sf_avg3,sa_avg3,sf_p_avg3,gf_avg3,ga_avg3,gf_p_avg3,x_gf_avg3,x_ga_avg3,x_gf_p_avg3,scf_avg3,sca_avg3,scf_p_avg3,scsf_avg3,scsa_avg3,scsf_p_avg3,scgf_avg3,scga_avg3,scgf_p_avg3,scsh_avg3,scsv_avg3,hdcf_avg3,hdca_avg3,hdcf_p_avg3,hdsf_avg3,hdsa_avg3,hdsf_p_avg3,hdgf_avg3,hdga_avg3,hdgf_p_avg3,hdsh_avg3,hdsv_avg3,mdcf_avg3,mdca_avg3,mdcf_p_avg3,mdsf_avg3,mdsa_avg3,mdsf_p_avg3,mdgf_avg3,mdga_avg3,mdgf_p_avg3,mdsh_avg3,mdsv_avg3,ldcf_avg3,ldca_avg3,ldcf_p_avg3,ldsf_avg3,ldsa_avg3,ldsf_p_avg3,ldgf_avg3,ldga_avg3,ldgf_p_avg3,ldsh_avg3,ldsv_avg3,sh_avg3,sv_avg3,pdo_avg3
Anaheim Ducks,1415,0.62195122,0.658536585,0.548780488,82,3858.5333,54,20,8,51,116,0.707,3555,3559,49.97,2687,2653,50.32,1941,1821,51.59,190,136,58.28,158.89,152.56,51.01,1739,1690,50.71,1073,994,51.91,165,125,56.9,15.38,87.42,766,685,52.79,594,525,53.08,118,93,55.92,19.87,82.29,973,1005,49.19,479,469,50.53,47,32,59.49,9.81,93.18,1571,1639,48.94,806,771,51.11,25,11,69.44,3.1,98.57,9.79,92.53,1.023,82,3870.55,45,28.66666667,8.333333333,41.66666667,98.33333333,0.599666667,3309,3629.666667,47.65,2519.333333,2719.666667,48.07666667,1793.666667,1893,48.63333333,154,148.6666667,50.58,145.2233333,158.1166667,47.84333333,1626,1730,48.42,1003.666667,1045,49.00333333,134,128,50.82,13.28,87.71666667,684.3333333,718.3333333,48.71333333,529,548.3333333,49.02333333,98.66666667,89.33333333,52.24666667,18.57,83.68,941.6666667,1011.666667,48.2,474.6666667,496.6666667,48.99,35.33333333,38.66666667,47.28666667,7.43,92.17666667,1486,1665,47.13666667,734.6666667,783.3333333,48.35,19.66666667,20.66666667,49.60666667,2.653333333,97.36666667,8.533333333,92.14333333,1.006666667
Anaheim Ducks,1516,0.56097561,0.62195122,0.56504065,82,3949.6667,51,24,7,43,109,0.665,3682,3503,51.25,2780,2596,51.71,1894,1835,50.79,157,148,51.48,155.15,145.08,51.68,1720,1566,52.34,971,929,51.11,136,128,51.52,14.01,86.22,684,633,51.94,498,466,51.66,90,88,50.56,18.07,81.12,1036,933,52.62,473,463,50.53,46,40,53.49,9.73,91.36,1699,1639,50.9,848,815,50.99,19,20,48.72,2.24,97.55,8.29,91.93,1.002,82,3905.35,46.33333333,26.66666667,9,41.66666667,101.6666667,0.62,3529,3533,49.95333333,2660.666667,2628.333333,50.28666667,1858,1837.333333,50.25,162,146.6666667,52.29333333,152.05,150.5733333,50.22333333,1702.666667,1643.333333,50.89,1005.666667,978.6666667,50.67,140,127.6666667,52.07,13.87333333,86.93666667,705,678,50.96,532,516.3333333,50.73333333,100,89.66666667,52.53,18.73,82.54666667,997.6666667,965.3333333,50.82666667,473.6666667,462.3333333,50.60666667,40,38,50.70333333,8.433333333,91.77,1589.666667,1637.666667,49.22333333,784.3333333,784.3333333,49.92666667,21.33333333,19,53.88,2.733333333,97.57666667,8.69,92.01666667,1.007
Anaheim Ducks,1617,0.56097561,0.56097561,0.613821138,82,3879.2333,46,25,11,43,103,0.628,3642,3313,52.37,2743,2422,53.11,1913,1722,52.63,127,131,49.22,149.52,134.43,52.66,1688,1509,52.8,1008,901,52.8,111,111,50,11.01,87.68,668,623,51.74,503,462,52.12,75,77,49.34,14.91,83.33,1020,886,53.52,505,439,53.5,36,34,51.43,7.13,92.26,1693,1525,52.61,824,739,52.72,15,19,44.12,1.82,97.43,6.64,92.39,0.99,82,3895.8111,50.33333333,23,8.666666667,45.66666667,109.3333333,0.666666667,3626.333333,3458.333333,51.19666667,2736.666667,2557,51.71333333,1916,1792.666667,51.67,158,138.3333333,52.99333333,154.52,144.0233333,51.78333333,1715.666667,1588.333333,51.95,1017.333333,941.3333333,51.94,137.3333333,121.3333333,52.80666667,13.46666667,87.10666667,706,647,52.15666667,531.6666667,484.3333333,52.28666667,94.33333333,86,51.94,17.61666667,82.24666667,1009.666667,941.3333333,51.77666667,485.6666667,457,51.52,43,35.33333333,54.80333333,8.89,92.26666667,1654.333333,1601,50.81666667,826,775,51.60666667,19.66666667,16.66666667,54.09333333,2.386666667,97.85,8.24,92.28333333,1.005
Anaheim Ducks,1718,0.536585366,0.56097561,0.581300813,82,3884.4333,46,23,13,43,105,0.64,3504,3551,49.67,2646,2636,50.09,1869,1828,50.55,145,128,53.11,158.32,144.42,52.3,1726,1653,51.08,1014,944,51.79,122,106,53.51,12.03,88.77,730,676,51.92,533,476,52.82,91,73,55.49,17.07,84.66,996,977,50.48,481,468,50.68,31,33,48.44,6.44,92.95,1505,1631,47.99,783,816,48.97,23,21,52.27,2.94,97.43,7.76,93,1.008,82,3904.444433,47.66666667,24,10.33333333,43,105.6666667,0.644333333,3609.333333,3455.666667,51.09666667,2723,2551.333333,51.63666667,1892,1795,51.32333333,143,135.6666667,51.27,154.33,141.31,52.21333333,1711.333333,1576,52.07333333,997.6666667,924.6666667,51.9,123,115,51.67666667,12.35,87.55666667,694,644,51.86666667,511.3333333,468,52.2,85.33333333,79.33333333,51.79666667,16.68333333,83.03666667,1017.333333,932,52.20666667,486.3333333,456.6666667,51.57,37.66666667,35.66666667,51.12,7.766666667,92.19,1632.333333,1598.333333,50.5,818.3333333,790,50.89333333,19,20,48.37,2.333333333,97.47,7.563333333,92.44,1
Anaheim Ducks,1819,0.426829268,0.536585366,0.552845528,82,3942.4833,44,25,13,40,101,0.616,3665,3881,48.57,2753,2926,48.48,1940,2044,48.69,157,137,53.4,159.19,169.64,48.41,1763,1868,48.55,1046,1113,48.45,138,123,52.87,13.19,88.95,734,759,49.16,543,555,49.45,105,84,55.56,19.34,84.86,1029,1109,48.13,503,558,47.41,33,39,45.83,6.56,93.01,1521,1667,47.71,762,828,47.92,18,13,58.06,2.36,98.43,8.09,93.3,1.014,82,3902.049967,45.33333333,24.33333333,12.33333333,42,103,0.628,3603.666667,3581.666667,50.20333333,2714,2661.333333,50.56,1907.333333,1864.666667,50.62333333,143,132,51.91,155.6766667,149.4966667,51.12333333,1725.666667,1676.666667,50.81,1022.666667,986,51.01333333,123.6666667,113.3333333,52.12666667,12.07666667,88.46666667,710.6666667,686,50.94,526.3333333,497.6666667,51.46333333,90.33333333,78,53.46333333,17.10666667,84.28333333,1015,990.6666667,50.71,496.3333333,488.3333333,50.53,33.33333333,35.33333333,48.56666667,6.71,92.74,1573,1607.666667,49.43666667,789.6666667,794.3333333,49.87,18.66666667,17.66666667,51.48333333,2.373333333,97.76333333,7.496666667,92.89666667,1.004
Anaheim Ducks,1920,0.408450704,0.426829268,0.508130081,82,3975.5667,35,37,10,32,80,0.488,3595,3957,47.6,2672,2984,47.24,1845,2068,47.15,136,154,46.9,147.3,178.03,45.28,1651,1937,46.01,962,1168,45.16,112,139,44.62,11.64,88.1,662,815,44.82,469,612,43.39,78,95,45.09,16.63,84.48,989,1122,46.85,493,556,47,34,44,43.59,6.9,92.09,1589,1668,48.79,771,808,48.83,24,14,63.16,3.11,98.27,7.37,92.55,0.999,82,3934.1611,41.66666667,28.33333333,12,38.33333333,95.33333333,0.581333333,3588,3796.333333,48.61333333,2690.333333,2848.666667,48.60333333,1884.666667,1980,48.79666667,146,139.6666667,51.13666667,154.9366667,164.03,48.66333333,1713.333333,1819.333333,48.54666667,1007.333333,1075,48.46666667,124,122.6666667,50.33333333,12.28666667,88.60666667,708.6666667,750,48.63333333,515,547.6666667,48.55333333,91.33333333,84,52.04666667,17.68,84.66666667,1004.666667,1069.333333,48.48666667,492.3333333,527.3333333,48.36333333,32.66666667,38.66666667,45.95333333,6.633333333,92.68333333,1538.333333,1655.333333,48.16333333,772,817.3333333,48.57333333,21.66666667,16,57.83,2.803333333,98.04333333,7.74,92.95,1.007
Anaheim Ducks,2021,0.303571429,0.408450704,0.457288446,71,3430.1167,29,33,9,24,67,0.472,3144,3364,48.31,2414,2581,48.33,1675,1812,48.04,130,148,46.76,134.03,151.8,46.89,1493,1639,47.67,871,992,46.75,112,128,46.67,12.86,87.1,613,670,47.78,433,490,46.91,68,86,44.16,15.7,82.45,880,969,47.59,438,502,46.6,44,42,51.16,10.05,91.63,1430,1503,48.76,727,755,49.06,18,20,47.37,2.48,97.35,7.76,91.83,0.996,78.33333333,3782.722233,36,31.66666667,10.66666667,32,82.66666667,0.525333333,3468,3734,48.16,2613,2830.333333,48.01666667,1820,1974.666667,47.96,141,146.3333333,49.02,146.84,166.49,46.86,1635.666667,1814.666667,47.41,959.6666667,1091,46.78666667,120.6666667,130,48.05333333,12.56333333,88.05,669.6666667,748,47.25333333,481.6666667,552.3333333,46.58333333,83.66666667,88.33333333,48.27,17.22333333,83.93,966,1066.666667,47.52333333,478,538.6666667,47.00333333,37,41.66666667,46.86,7.836666667,92.24333333,1513.333333,1612.666667,48.42,753.3333333,797,48.60333333,20,15.66666667,56.19666667,2.65,98.01666667,7.74,92.56,1.003
Anaheim Ducks,2122,0.37804878,0.303571429,0.379617134,56,2764.65,17,30,9,15,43,0.384,2379,2494,48.82,1740,1888,47.96,1211,1364,47.03,100,122,45.05,97.39,114.35,46,1104,1251,46.88,655,780,45.64,87,112,43.72,13.28,85.64,440,522,45.74,321,389,45.21,57,80,41.61,17.76,79.43,664,729,47.67,334,391,46.07,30,32,48.39,8.98,91.82,1059,1094,49.19,476,545,46.62,13,10,56.52,2.73,98.17,8.26,91.06,0.993,69.66666667,3390.111133,27,33.33333333,9.333333333,23.66666667,63.33333333,0.448,3039.333333,3271.666667,48.24333333,2275.333333,2484.333333,47.84333333,1577,1748,47.40666667,122,141.3333333,46.23666667,126.24,148.06,46.05666667,1416,1609,46.85333333,829.3333333,980,45.85,103.6666667,126.3333333,45.00333333,12.59333333,86.94666667,571.6666667,669,46.11333333,407.6666667,497,45.17,67.66666667,87,43.62,16.69666667,82.12,844.3333333,940,47.37,421.6666667,483,46.55666667,36,39.33333333,47.71333333,8.643333333,91.84666667,1359.333333,1421.666667,48.91333333,658,702.6666667,48.17,18.33333333,14.66666667,55.68333333,2.773333333,97.93,7.796666667,91.81333333,0.996
Anaheim Ducks,2223,0.280487805,0.37804878,0.363356971,82,4035.9667,31,37,14,27,76,0.463,3551,3877,47.81,2699,2942,47.85,1937,2099,47.99,154,186,45.29,161.89,177.81,47.66,1737,1897,47.8,1038,1138,47.7,125,146,46.13,12.04,87.17,727,778,48.31,554,569,49.33,92,95,49.2,16.61,83.3,1010,1119,47.44,484,569,45.96,33,51,39.29,6.82,91.04,1574,1745,47.42,776,872,47.09,27,40,40.3,3.48,95.41,7.95,91.14,0.991,69.66666667,3410.244467,25.66666667,33.33333333,10.66666667,22,62,0.439666667,3024.666667,3245,48.31333333,2284.333333,2470.333333,48.04666667,1607.666667,1758.333333,47.68666667,128,152,45.7,131.1033333,147.9866667,46.85,1444.666667,1595.666667,47.45,854.6666667,970,46.69666667,108,128.6666667,45.50666667,12.72666667,86.63666667,593.3333333,656.6666667,47.27666667,436,482.6666667,47.15,72.33333333,87,44.99,16.69,81.72666667,851.3333333,939,47.56666667,418.6666667,487.3333333,46.21,35.66666667,41.66666667,46.28,8.616666667,91.49666667,1354.333333,1447.333333,48.45666667,659.6666667,724,47.59,19.33333333,23.33333333,48.06333333,2.896666667,96.97666667,7.99,91.34333333,0.993333333
Anaheim Ducks,2324,0.329268293,0.280487805,0.320702671,82,3992.5,23,47,12,20,58,0.354,3300,4433,42.67,2464,3444,41.71,1801,2537,41.52,143,224,38.96,150.64,226.64,39.93,1613,2305,41.17,938,1428,39.64,120,185,39.34,12.79,87.04,673,1055,38.95,484,786,38.11,73,129,36.14,15.08,83.59,940,1250,42.92,454,642,41.42,47,56,45.63,10.35,91.28,1388,1907,42.12,694,1013,40.66,23,39,37.1,3.31,96.15,7.94,91.17,0.991,73.33333333,3597.705567,23.66666667,38,11.66666667,20.66666667,59,0.400333333,3076.666667,3601.333333,46.43333333,2301,2758,45.84,1649.666667,2000,45.51333333,132.3333333,177.3333333,43.1,136.64,172.9333333,44.53,1484.666667,1817.666667,45.28333333,877,1115.333333,44.32666667,110.6666667,147.6666667,43.06333333,12.70333333,86.61666667,613.3333333,785,44.33333333,453,581.3333333,44.21666667,74,101.3333333,42.31666667,16.48333333,82.10666667,871.3333333,1032.666667,46.01,424,534,44.48333333,36.66666667,46.33333333,44.43666667,8.716666667,91.38,1340.333333,1582,46.24333333,648.6666667,810,44.79,21,29.66666667,44.64,3.173333333,96.57666667,8.05,91.12333333,0.991666667
Arizona Coyotes,1718,0.353658537,0.365853659,0.361788618,82,3982.2667,30,42,10,24,70,0.427,3411,4163,45.04,2562,3202,44.45,1813,2221,44.94,132,167,44.15,127.94,174.2,42.34,1434,1941,42.49,850,1153,42.44,109,135,44.67,12.82,88.29,563,819,40.74,419,588,41.61,74,81,47.74,17.66,86.22,871,1122,43.7,431,565,43.27,35,54,39.33,8.12,90.44,1627,1907,46.04,863,1007,46.15,23,32,41.82,2.67,96.82,7.28,92.48,0.998,82,3906.111133,29.66666667,43.66666667,8.666666667,25.66666667,68,0.414666667,3421.333333,3887,46.82666667,2529.666667,2948.333333,46.21,1784.333333,2066.333333,46.35666667,123,159,43.69,130.1533333,157.5066667,45.30666667,1453.666667,1784.666667,44.93333333,860,1068,44.67,101,132,43.50666667,11.75333333,87.65666667,584,722.6666667,44.84333333,432.6666667,534.6666667,44.84,66.66666667,86,43.41666667,15.37666667,83.83,869.6666667,1062,45.00333333,427.3333333,533.3333333,44.48666667,34.33333333,46,42.85333333,7.986666667,91.43,1614.666667,1810.666667,47.11666667,823.3333333,932.6666667,46.84333333,21.66666667,25.66666667,45.83666667,2.68,97.26333333,6.926666667,92.31333333,0.992333333
Arizona Coyotes,1819,0.475609756,0.353658537,0.382113821,82,4020.1167,29,41,12,27,70,0.427,3774,4072,48.1,2729,3083,46.95,1912,2098,47.68,140,164,46.05,149.66,166.67,47.31,1687,1810,48.24,997,1051,48.68,110,133,45.27,11.03,87.35,707,790,47.23,513,536,48.9,72,97,42.6,14.04,81.9,980,1020,49,484,515,48.45,38,36,51.35,7.85,93.01,1684,1908,46.88,799,963,45.35,27,29,48.21,3.38,96.99,7.32,92.18,0.995,82,3925.094467,31.33333333,40.66666667,10,28.33333333,72.66666667,0.443333333,3472,3969.333333,46.64666667,2561,3022,45.88,1802.333333,2083.666667,46.38666667,134.3333333,155.6666667,46.42,134.2266667,161.9966667,45.31333333,1506.666667,1799.666667,45.54666667,901.3333333,1059.666667,45.96666667,108,126.3333333,46.18333333,12.03333333,88.08666667,621.3333333,747.6666667,45.44666667,461.6666667,531.3333333,46.53,75,85.33333333,46.88666667,16.38,83.84,885.3333333,1052,45.65333333,439.6666667,528.3333333,45.38666667,33,41,44.91666667,7.47,92.30666667,1602.333333,1853.666667,46.35333333,797,952.6666667,45.52666667,25,27.66666667,47.74,3.16,97.11,7.463333333,92.54,1
Arizona Coyotes,1920,0.471428571,0.475609756,0.398373984,82,3955.3333,39,35,8,35,86,0.524,3732,3907,48.85,2766,2836,49.38,1982,2002,49.75,131,157,45.49,157.27,156.78,50.08,1641,1743,48.49,981,997,49.6,113,134,45.75,11.52,86.56,716,773,48.09,517,548,48.54,68,95,41.72,13.15,82.66,925,970,48.81,464,449,50.82,45,39,53.57,9.7,91.31,1679,1754,48.91,858,896,48.92,17,22,43.59,1.98,97.54,6.61,92.16,0.988,82,3985.905567,32.66666667,39.33333333,10,28.66666667,75.33333333,0.459333333,3639,4047.333333,47.33,2685.666667,3040.333333,46.92666667,1902.333333,2107,47.45666667,134.3333333,162.6666667,45.23,144.9566667,165.8833333,46.57666667,1587.333333,1831.333333,46.40666667,942.6666667,1067,46.90666667,110.6666667,134,45.23,11.79,87.4,662,794,45.35333333,483,557.3333333,46.35,71.33333333,91,44.02,14.95,83.59333333,925.3333333,1037.333333,47.17,459.6666667,509.6666667,47.51333333,39.33333333,43,48.08333333,8.556666667,91.58666667,1663.333333,1856.333333,47.27666667,840,955.3333333,46.80666667,22.33333333,27.66666667,44.54,2.676666667,97.11666667,7.07,92.27333333,0.993666667
