rec_num,lfsstat,prov,cma,age_12,sex,marstat,educ,mjh,cowmain,immig,naics_21,noc_10,noc_43,uhrsmain,ahrsmain,utothrs,atothrs,hrsaway,paidot,unpaidot,xtrahrs,tenure,hrlyearn,union,permtemp,estsize,firmsize,efamtype
1,1,48,8,11,2,1,4,1,2,3,17,6,30,37.5,37.5,37.5,37.5,0,0,0,0,86,24.22,1,1,2,4,18
2,1,35,0,8,1,1,2,1,1,3,16,8,36,40,40,40,40,0,0,0,0,240,30.05,1,1,2,4,3
10,1,24,0,10,1,2,2,1,2,3,15,7,31,40,40,40,40,0,0,0,0,240,28,1,3,3,3,5
11,1,35,0,6,2,1,5,1,2,3,17,1,2,35,28,35,28,7,0,0,0,82,30.37,3,1,2,2,3
13,1,35,0,10,1,1,4,1,1,2,17,3,10,37.5,37.5,37.5,37.5,0,0,0,0,133,85.13,1,1,4,4,2
16,1,59,9,7,1,1,2,1,2,3,4,9,39,50,50,50,50,0,0,0,0,70,49,3,1,4,4,3
20,1,24,0,4,2,2,6,1,1,1,17,4,15,36,36,36,36,0,0,0,0,34,45,2,1,2,2,2
21,1,47,0,10,2,1,5,1,1,3,16,5,20,40,40,40,40,0,0,6,6,240,34.62,1,1,2,3,2
24,1,35,3,7,1,1,4,1,1,3,21,3,11,37.5,37.5,37.5,37.5,0,0,0,0,170,59,1,1,1,4,3
25,1,47,0,6,1,1,4,1,2,1,6,8,35,60,60,60,60,0,0,0,0,19,47.47,1,1,2,3,3
27,1,10,0,10,1,5,4,1,2,3,15,8,35,50,12,50,12,16,0,0,0,6,44.6,3,4,1,4,14
28,1,35,0,8,2,1,4,1,2,3,17,4,18,38,20,38,20,15.5,0,0,0,120,25,3,1,1,1,4
29,1,35,4,7,2,1,6,1,2,2,12,3,11,37.5,37.5,37.5,37.5,0,0,0,0,63,45,3,1,4,4,3
31,1,48,8,6,2,1,2,1,2,3,18,2,9,32.5,32.5,32.5,32.5,0,0,0,0,240,26,3,1,1,1,3
32,1,47,0,7,2,1,5,1,1,3,12,1,2,37.5,37.5,37.5,37.5,0,0,0,0,100,56.41,3,1,2,4,4
36,1,35,4,8,2,6,1,1,2,2,7,10,42,40,40,40,40,0,0,0,0,55,18,3,1,2,2,14
37,1,59,0,5,1,1,6,1,1,3,5,1,4,37.5,41,37.5,41,0,4,0,4,46,71.79,3,1,4,4,3
38,1,35,4,3,1,6,5,1,2,3,13,7,32,40,40,40,40,0,0,0,0,23,35.1,3,1,2,4,18
47,1,24,2,4,1,2,6,1,1,3,16,5,20,37.5,47.5,37.5,47.5,0,0,10,10,43,35.9,3,3,4,4,2
55,1,48,8,5,1,1,5,1,2,3,14,5,19,50,42,50,42,8,0,0,0,11,78.85,3,1,2,4,2
56,1,48,8,4,2,6,1,1,2,3,19,1,3,35,35,35,35,0,0,0,0,194,18,3,1,2,4,1
57,1,48,0,6,2,1,4,1,2,2,10,7,31,37.5,30,37.5,30,7.5,0,0,0,117,22.4,3,1,3,4,18
60,1,46,6,7,1,6,6,1,2,2,12,2,7,37.5,37.5,37.5,37.5,0,0,0,0,207,22.8,3,1,4,4,1
64,1,24,0,7,2,6,4,1,1,3,21,2,8,37.5,30,37.5,30,7.5,0,0,0,183,33.33,3,1,4,4,1
67,1,48,0,6,1,1,4,1,2,3,6,8,35,44,74,44,74,0,20,10,30,47,45,3,1,3,3,3
